department,department_id,code,title,grade,type,credit,prerequisite,description,curriculum_year,ministry_source_url
The Arts,ONTARIO-ARTS,ADA1O,Drama,9,Open,1.0,None,"This course provides opportunities for students to explore dramatic forms and techniques, using material from a wide range of sources and cultures. Students will use the elements of drama to examine situations and issues that are relevant to their lives. Students will create, perform, discuss, and analyse drama, and then reflect on the experiences to develop an understanding of themselves, the art form, and the world around them.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/ada1o
The Arts,ONTARIO-ARTS,ADA2O,Drama,10,Open,1.0,None,"This course provides opportunities for students to explore dramatic forms, conventions, and techniques. Students will explore a variety of dramatic sources from various cultures and representing a range of genres. Students will use the elements of drama in creating and communicating through dramatic works. Students will assume responsibility for decisions made in the creative and collaborative processes and will reflect on their experiences.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/ada2o
The Arts,ONTARIO-ARTS,ADA3M,Drama,11,University/College Preparation,1.0,None,"This course requires students to create and perform in dramatic presentations. Students will analyse, interpret, and perform dramatic works from various cultures and time periods. Students will research various acting styles and conventions that could be used in their presentations, and analyse the functions of playwrights, directors, actors, designers, technicians, and audiences.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/ada3m
The Arts,ONTARIO-ARTS,ADA3O,Drama,11,Open,1.0,None,"This course requires students to engage in dramatic processes and the presentation of dramatic works, and emphasizes the application of drama skills in other contexts and opportunities. Students will interpret and present works in a variety of dramatic forms, create and script original works, and critically analyse the processes involved in producing drama works. Students will develop a variety of skills related to collaboration and the presentation of drama works.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/ada3o
The Arts,ONTARIO-ARTS,ADA4E,Drama,12,Workplace Preparation,1.0,None,"This course requires students to create, present, and analyse a variety of dramatic works relevant to the workplace. Students will build trust and collaborative skills and develop self-confidence through hands-on experience and project-based learning in drama activities. Students will also explore skills related to the study of drama that can be applied in the workplace.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/ada4e
The Arts,ONTARIO-ARTS,ADA4M,Drama,12,University/College Preparation,1.0,None,"This course requires students to experiment individually and collaboratively with forms and conventions of both drama and theatre from various cultures and time periods. Students will interpret dramatic literature and other texts and media sources while learning about various theories of directing and acting. Students will examine the significance of dramatic arts in various cultures, and will analyse how the knowledge and skills developed in drama are related to their personal skills, social awareness, and goals beyond secondary school.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/ada4m
The Arts,ONTARIO-ARTS,AEA3O,Exploring and Creating in the Arts,11,Open,1.0,None,"This course offers students the opportunity to explore connections between dance, drama, media arts, music, and/or visual arts. Students will use the creative process individually and/or collaboratively to produce integrated art works that draw on various disciplines, and they will critically analyse art works and determine how interpreting these works affects their own development. Students will develop responsible practices that are transferable beyond the classroom. They will explore solutions to integrated arts challenges and discover that art is everywhere, influencing and reflecting society.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/aea3o
The Arts,ONTARIO-ARTS,AEA4O,Exploring and Creating in the Arts,12,Open,1.0,None,"This course offers students the opportunity to explore connections between dance, drama, media arts, music, and/or visual arts. Students will use the creative process individually and/or collaboratively to produce integrated art works that draw on various disciplines, and they will critically analyse art works and determine how interpreting these works affects their own development. Students will develop responsible practices that are transferable beyond the classroom. They will explore solutions to integrated arts challenges and discover that art is everywhere, influencing and reflecting society.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/aea4o
The Arts,ONTARIO-ARTS,ALC1O,Integrated Arts,9,Open,1.0,None,This course integrates two or,2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/alc1o
The Arts,ONTARIO-ARTS,ALC2O,Integrated Arts,10,Open,1.0,None,This course integrates two or,2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/alc2o
