department,department_id,code,title,grade,type,credit,prerequisite,description,curriculum_year,ministry_source_url
Canadian and World Studies,ONTARIO-CWS,CGC1W,Exploring Canadian Geography,9,De-streamed,1.0,None,"Students explore relationships within and between Canada's natural and human systems and examine how these systems connect with other parts of the world.",2024,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgc1w
Canadian and World Studies,ONTARIO-CWS,CHC2D,Canadian History since World War I,10,Academic,1.0,None,"Students examine social economic and political developments in Canada since 1914 and their effects on individuals groups communities and Canadian society.",2026,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/chc2d
Canadian and World Studies,ONTARIO-CWS,CHC2P,Canadian History since World War I,10,Applied,1.0,None,"Students investigate major developments and events in Canadian history since 1914 with emphasis on their effects on the lives of people and communities.",2026,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/chc2p
Canadian and World Studies,ONTARIO-CWS,CHV2O,Civics and Citizenship,10,Open,0.5,None,"Students explore rights and responsibilities associated with active citizenship in a democratic society and investigate issues of civic importance.",2022,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/chv2o
Canadian and World Studies,ONTARIO-CWS,CGD3M,Regional Geography,11,University/College Preparation,1.0,CGC1D or CGC1P,"Students examine relationships between the land and people of a selected region and investigate the region's connections with the rest of the world.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgd3m
Canadian and World Studies,ONTARIO-CWS,CGF3M,Forces of Nature: Physical Processes and Disasters,11,University/College Preparation,1.0,CGC1D or CGC1P,"Students investigate physical processes related to the earth's water land and air and examine how natural hazards affect human and environmental systems.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgf3m
Canadian and World Studies,ONTARIO-CWS,CGG3O,Travel and Tourism: A Geographic Perspective,11,Open,1.0,CGC1D or CGC1P,"Students investigate environmental cultural economic and political characteristics of world regions through the study of travel and tourism.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgg3o
Canadian and World Studies,ONTARIO-CWS,CGT3O,Introduction to Spatial Technologies,11,Open,1.0,CGC1D or CGC1P,"Students develop practical skills using geographic information systems global positioning systems and other spatial technologies.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgt3o
Canadian and World Studies,ONTARIO-CWS,CHA3U,American History,11,University Preparation,1.0,CHC2D or CHC2P,"Students explore the social economic and political development of the United States from precontact societies to the present.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cha3u
Canadian and World Studies,ONTARIO-CWS,CHE3O,Origins and Citizenship: The History of a Canadian Ethnic Group,11,Open,1.0,CHC2D or CHC2P,"Students examine the history of a selected ethnic group in Canada including migration settlement identity citizenship and contributions to Canadian society.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/che3o
Canadian and World Studies,ONTARIO-CWS,CHT3O,World History since 1900: Global and Regional Interactions,11,Open,1.0,CHC2D or CHC2P,"Students explore major developments conflicts individuals and social movements in world history from 1900 to the present.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cht3o
Canadian and World Studies,ONTARIO-CWS,CHW3M,World History to the End of the Fifteenth Century,11,University/College Preparation,1.0,CHC2D or CHC2P,"Students investigate societies and civilizations from earliest times to approximately 1500 and analyse factors contributing to their development and decline.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/chw3m
Canadian and World Studies,ONTARIO-CWS,CIE3M,The Individual and the Economy,11,University/College Preparation,1.0,CHC2D or CHC2P,"Students explore economic decision making and the ways individuals households businesses and governments participate in the Canadian economy.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cie3m
Canadian and World Studies,ONTARIO-CWS,CLU3E,Understanding Canadian Law in Everyday Life,11,Workplace Preparation,1.0,CHC2D or CHC2P,"Students develop practical knowledge of Canadian law and examine legal issues affecting individuals families workplaces and communities.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/clu3e
Canadian and World Studies,ONTARIO-CWS,CLU3M,Understanding Canadian Law,11,University/College Preparation,1.0,CHC2D or CHC2P,"Students examine the Canadian legal system rights and freedoms and legal issues involving criminal civil and family law.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/clu3m
Canadian and World Studies,ONTARIO-CWS,CPC3O,Politics in Action: Making Change,11,Open,1.0,CHV2O,"Students investigate political issues institutions and processes and develop strategies for participating in civic and political action.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cpc3o
Canadian and World Studies,ONTARIO-CWS,CGO4M,Spatial Technologies in Action,12,University/College Preparation,1.0,Any Grade 11 university college or university/college preparation course in Canadian and World Studies,"Students apply computer-based spatial technologies to real-world geographic issues involving planning transportation resources and environmental management.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgo4m
Canadian and World Studies,ONTARIO-CWS,CGR4E,Living in a Sustainable World,12,Workplace Preparation,1.0,Any Grade 11 course in Canadian and World Studies,"Students examine how human activities consumer choices and planning decisions affect natural systems and sustainable communities.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgr4e
Canadian and World Studies,ONTARIO-CWS,CGR4M,The Environment and Resource Management,12,University/College Preparation,1.0,Any Grade 11 university college or university/college preparation course in Canadian and World Studies,"Students investigate interactions between natural and human systems with emphasis on environmental impacts resource use and sustainable management.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgr4m
Canadian and World Studies,ONTARIO-CWS,CGU4M,World Geography: Urban Patterns and Population Issues,12,University/College Preparation,1.0,Any Grade 11 university college or university/college preparation course in Canadian and World Studies,"Students examine population change migration urbanization and the challenges associated with increasingly urban and interconnected societies.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgu4m
Canadian and World Studies,ONTARIO-CWS,CGW4C,World Issues: A Geographic Analysis,12,College Preparation,1.0,Any Grade 11 college or university/college preparation course in Canadian and World Studies,"Students examine global challenges involving food water energy urbanization globalization inequality and environmental sustainability.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgw4c
Canadian and World Studies,ONTARIO-CWS,CGW4U,World Issues: A Geographic Analysis,12,University Preparation,1.0,Any Grade 11 university or university/college preparation course in Canadian and World Studies,"Students analyse economic environmental political and social issues related to creating a more sustainable and equitable world.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cgw4u
Canadian and World Studies,ONTARIO-CWS,CHI4U,Canada: History Identity and Culture,12,University Preparation,1.0,Any Grade 11 university or university/college preparation course in Canadian and World Studies,"Students investigate Canadian history identity and culture through significant developments events individuals and diverse perspectives.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/chi4u
Canadian and World Studies,ONTARIO-CWS,CHM4E,Adventures in World History,12,Workplace Preparation,1.0,Any Grade 11 course in Canadian and World Studies,"Students explore selected historical events societies individuals and cultural developments from different regions and periods of world history.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/chm4e
Canadian and World Studies,ONTARIO-CWS,CHY4C,World History since the Fifteenth Century,12,College Preparation,1.0,Any Grade 11 college or university/college preparation course in Canadian and World Studies,"Students investigate major historical developments and interactions among societies from approximately 1450 to the present.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/chy4c
Canadian and World Studies,ONTARIO-CWS,CHY4U,World History since the Fifteenth Century,12,University Preparation,1.0,Any Grade 11 university or university/college preparation course in Canadian and World Studies,"Students analyse major developments ideas conflicts and transformations in world history from approximately 1450 to the present.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/chy4u
Canadian and World Studies,ONTARIO-CWS,CIA4U,Analysing Current Economic Issues,12,University Preparation,1.0,Any Grade 11 university or university/college preparation course in Canadian and World Studies,"Students examine current Canadian and global economic issues and apply economic concepts models and inquiry skills to evaluate possible responses.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cia4u
Canadian and World Studies,ONTARIO-CWS,CIC4E,Making Personal Economic Choices,12,Workplace Preparation,1.0,Any Grade 11 course in Canadian and World Studies,"Students develop practical financial and economic decision-making skills related to employment income spending borrowing saving and consumer choices.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cic4e
Canadian and World Studies,ONTARIO-CWS,CLN4C,Legal Studies,12,College Preparation,1.0,Any Grade 11 college or university/college preparation course in Canadian and World Studies,"Students examine legal issues and processes in Canadian criminal civil family and workplace law and consider how law affects everyday life.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cln4c
Canadian and World Studies,ONTARIO-CWS,CLN4U,Canadian and International Law,12,University Preparation,1.0,Any Grade 11 university or university/college preparation course in Canadian and World Studies,"Students analyse Canadian and international legal systems rights issues legal principles and the relationship between law and society.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cln4u
Canadian and World Studies,ONTARIO-CWS,CPW4U,Canadian and International Politics,12,University Preparation,1.0,Any Grade 11 university or university/college preparation course in Canadian and World Studies,"Students analyse political ideologies institutions issues and relationships in Canada and the international community.",2015,https://www.dcp.edu.gov.on.ca/en/curriculum/canadian-and-world-studies/courses/cpw4u
