department,department_id,code,title,grade,type,credit,prerequisite,description,curriculum_year,ministry_source_url
Technological Education,ONTARIO-TECH,TAS1O,Technology and the Skilled Trades,9,Open,1.0,Pending Ministry verification,"This hands-on course enables students to further explore the engineering design process and develop other technological knowledge and skills introduced in earlier grades. Students will design and safely create prototypes, products...",2024,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tas1o
Technological Education,ONTARIO-TECH,TAS2O,Technology and the Skilled Trades,10,Open,1.0,Pending Ministry verification,"This hands-on course enables students to apply the engineering design process and other technological knowledge and skills introduced in earlier grades. Students will design and safely create prototypes, products, and/or services...",2024,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tas2o
Technological Education,ONTARIO-TECH,TCJ3C,Construction Engineering Technology,11,College Preparation,1.0,Pending Ministry verification,"This course focuses on the development of knowledge and skills related to residential construction. Students will gain hands-on experience using a variety of construction materials, processes, tools, and equipment; learn about building...",2009,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tcj3c
Technological Education,ONTARIO-TECH,TCJ3E,Construction Technology,11,Workplace Preparation,1.0,Pending Ministry verification,"This course enables students to develop technical knowledge and skills related to carpentry, masonry, electrical systems, heating and cooling, and plumbing for residential construction. Students will gain hands-on experience using...",2009,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tcj3e
Technological Education,ONTARIO-TECH,TCJ4C,Construction Engineering Technology,12,College Preparation,1.0,Pending Ministry verification,"This course enables students to further develop knowledge and skills related to residential construction and to explore light commercial construction. Students will gain hands-on experience using a variety of materials, processes...",2009,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tcj4c
Technological Education,ONTARIO-TECH,TCJ4E,Construction Technology,12,Workplace Preparation,1.0,Pending Ministry verification,This course enables students to further develop technical knowledge and skills related to residential construction and to explore light commercial construction. Students will continue to gain hands-on experience using a variety of...,2009,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tcj4e
Technological Education,ONTARIO-TECH,TDJ3M,Technological Design,11,University/College Preparation,1.0,Pending Ministry verification,"This course examines how technological design is influenced by human, environmental, financial, and material requirements and resources. Students will research, design, build, and assess solutions that meet specific human needs, using...",2009,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tdj3m
Technological Education,ONTARIO-TECH,TDJ3O,Technological Design and the Environment,11,Open,1.0,Pending Ministry verification,"This course enables students to apply a systematic process for researching, designing, building, and assessing solutions to address specific human and environmental challenges. Through their work on various projects, students will...",2009,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tdj3o
Technological Education,ONTARIO-TECH,TDJ4M,Technological Design,12,University/College Preparation,1.0,Pending Ministry verification,"This course introduces students to the fundamentals of design advocacy and marketing, while building on their design skills and their knowledge of professional design practices. Students will apply a systematic design process to research...",2009,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tdj4m
Technological Education,ONTARIO-TECH,TDJ4O,Technological Design in the Twenty-first Century,12,Open,1.0,Pending Ministry verification,"This course focuses on the relationship between society and technological development. Students will use appropriate tools, techniques, and strategies to research, design, build, and assess prototypes for products and/or processes...",2009,https://www.dcp.edu.gov.on.ca/en/curriculum/technological-education/courses/tdj4o
